District_Code,RO_Code,Book,Deed_year,Deed_no,Item_no,Property_district_code,Property_ro_code,ps_code,moucode,Area_type,GP_Muni_Corp_Code,Ward,Holding,Premises,road_code,Plot_code_type,Road,Plot_No,Bata_No,Khatian_type,khatian_No,bata_khatian_no,property_type,Land_Area_acre,Land_Area_bigha,Land_Area_decimal,Land_Area_katha,Land_Area_chatak,Land_Area_sqfeet,Structure_area_in_sqFeet,Created_DTTM,ref_ps,ref_mouza,jl_no,other_plots,other_khatian,land_type,refjl_no,Created_by,Exception
"12","06","1","2005","00002","1","12","06","000","001",,,,,,,"CS",,"314","0","CS","365",,"AS","8","3","15","45","3","3","0","19-05-16 14.07.04",,,"001",,,,"3543","u1",
"12","06","1","2005","00002","2","12","06","06","001",,,,,,,"RS",,"242","0","RS","365",,"LL","1","1","0","0","3.2","0","0","19-05-16 14.07.04",,"ABHICHARAN","001",,,"004",,"u1",
"12","06","1","2005","00002","3","12","06","06","001",,,,,,,"RS",,"204","0","RS","365",,"LL","0","0","24","0","0","0","0","19-05-16 14.07.04",,"ABHICHARAN","001",,,"004",,"u1",
"12","06","1","2005","00002","4","12","06","06","001",,,,,,,"RS",,"75","0","RS","365",,"LL","0","0","17","0","0","0","0","19-05-16 14.07.04",,"ABHICHARAN","001",,,"004",,"u1",
"12","06","1","2005","00003","1","12","06","05","099",,,,,,,"RS",,"448","0","LR","1838",,"LL","0","0","3","0","0","0","0","18-11-05 11.32.37",,,"099",,,"004",,"prem",
"12","06","1","2005","00003","10","12","06","05","099",,,,,,,"RS",,"1296","0","LR","1838",,"LL","0","0","5","0","0","0","0","18-11-05 11.32.37",,,"099",,,"004",,"prem",
"12","06","1","2005","00003","11","12","06","05","099",,,,,,,"RS",,"1009","0","LR","1838",,"LL","0","0","24","0","0","0","0","18-11-05 11.32.37",,,"099",,,"004",,"prem",
"12","06","1","2005","00003","12","12","06","05","099",,,,,,,"RS",,"1012","0","LR","1838",,"LL","0","0","10","0","0","0","0","18-11-05 11.32.37",,,"099",,,"004",,"prem",
"12","06","1","2005","00003","13","12","06","05","099",,,,,,,"RS",,"3581","0","LR","1838",,"LL","0","0","1","0","0","0","0","18-11-05 11.32.37",,,"099",,,"004",,"prem",
"12","06","1","2005","00003","14","12","06","05","099",,,,,,,"RS",,"7160","0","LR","1838",,"LL","0","0","19","0","0","0","0","18-11-05 11.32.37",,,"099",,,"004",,"prem",
"12","06","1","2005","00003","15","12","06","05","099",,,,,,,"RS",,"3586","0","LR","1838",,"LL","0","0","5","0","0","0","0","18-11-05 11.32.37",,,"099",,,"004",,"prem",
"12","06","1","2005","00003","16","12","06","05","099",,,,,,,"RS",,"3577","0","LR","1838",,"LL","0","0","11","0","0","0","0","18-11-05 11.32.37",,,"099",,,"004",,"prem",
"12","06","1","2005","00003","17","12","06","05","099",,,,,,,"RS",,"2173","0","LR","1838",,"LL","0","0","3","0","0","0","0","18-11-05 11.32.37",,,"099",,,"004",,"prem",
"12","06","1","2005","00003","2","12","06","05","099",,,,,,,"RS",,"7270","0","LR","1838",,"LL","0","0","2","0","0","0","0","18-11-05 11.32.37",,,"099",,,"004",,"prem",
"12","06","1","2005","00003","3","12","06","05","099",,,,,,,"RS",,"7276","0","LR","1838",,"LL","0","0","2","0","0","0","0","18-11-05 11.32.37",,,"099",,,"004",,"prem",
